segment,country,product,discount_band,units_sold,sale_price,sales,date,month_name,year
Small Business,Germany, Amarilla , Medium ,1250.0, $300.00 ," $356,250.00 ",01/12/2014, December ,2014
Midmarket,France, Paseo , Medium ,3801.0, $15.00 ," $53,594.10 ",01/04/2014, April ,2014
Government,United States of America, Carretera , Medium ,1117.5, $20.00 ," $21,009.00 ",01/01/2014, January ,2014
Midmarket,Canada, Carretera , Medium ,2844.0, $15.00 ," $40,100.40 ",01/06/2014, June ,2014
Channel Partners,Mexico, Carretera , Medium ,562.0, $12.00 ," $6,339.36 ",01/09/2014, September ,2014
Channel Partners,Canada, Carretera , Medium ,2299.0, $12.00 ," $25,932.72 ",01/10/2013, October ,2013
Midmarket,United States of America, Carretera , Medium ,2030.0, $15.00 ," $28,623.00 ",01/11/2014, November ,2014
Government,United States of America, Carretera , Medium ,263.0, $7.00 ," $1,730.54 ",01/11/2013, November ,2013
Enterprise,Germany, Carretera , Medium ,887.0, $125.00 ," $104,222.50 ",01/12/2013, December ,2013
Government,Mexico, Montana , Medium ,980.0, $350.00 ," $322,420.00 ",01/04/2014, April ,2014
Government,Germany, Montana , Medium ,1460.0, $350.00 ," $480,340.00 ",01/05/2014, May ,2014
Government,France, Montana , Medium ,1403.0, $7.00 ," $9,231.74 ",01/10/2013, October ,2013
Channel Partners,United States of America, Montana , Medium ,2723.0, $12.00 ," $30,715.44 ",01/11/2014, November ,2014
Government,France, Paseo , Medium ,1496.0, $350.00 ," $492,184.00 ",01/06/2014, June ,2014
Channel Partners,Canada, Paseo , Medium ,2299.0, $12.00 ," $25,932.72 ",01/10/2013, October ,2013
Government,United States of America, Paseo , Medium ,727.0, $350.00 ," $239,183.00 ",01/10/2013, October ,2013
Enterprise,Canada, Velo , Medium ,952.0, $125.00 ," $111,860.00 ",01/02/2014, February ,2014
Enterprise,United States of America, Velo , Medium ,2755.0, $125.00 ," $323,712.50 ",01/02/2014, February ,2014
Midmarket,Germany, Velo , Medium ,1530.0, $15.00 ," $21,573.00 ",01/05/2014, May ,2014
Government,France, Velo , Medium ,1496.0, $350.00 ," $492,184.00 ",01/06/2014, June ,2014
Government,Mexico, Velo , Medium ,1498.0, $7.00 ," $9,856.84 ",01/06/2014, June ,2014
Small Business,France, Velo , Medium ,1221.0, $300.00 ," $344,322.00 ",01/10/2013, October ,2013
Government,France, Velo , Medium ,2076.0, $350.00 ," $683,004.00 ",01/10/2013, October ,2013
Midmarket,Canada, VTT , Medium ,2844.0, $15.00 ," $40,100.40 ",01/06/2014, June ,2014
Government,Mexico, VTT , Medium ,1498.0, $7.00 ," $9,856.84 ",01/06/2014, June ,2014
Small Business,France, VTT , Medium ,1221.0, $300.00 ," $344,322.00 ",01/10/2013, October ,2013
Government,Mexico, VTT , Medium ,1123.0, $20.00 ," $21,112.40 ",01/11/2013, November ,2013
Small Business,Canada, VTT , Medium ,2436.0, $300.00 ," $686,952.00 ",01/12/2013, December ,2013
Enterprise,France, Amarilla , Medium ,1987.5, $125.00 ," $233,531.25 ",01/01/2014, January ,2014
Government,Mexico, Amarilla , Medium ,1679.0, $350.00 ," $552,391.00 ",01/09/2014, September ,2014
Government,United States of America, Amarilla , Medium ,727.0, $350.00 ," $239,183.00 ",01/10/2013, October ,2013
Government,France, Amarilla , Medium ,1403.0, $7.00 ," $9,231.74 ",01/10/2013, October ,2013
Government,France, Amarilla , Medium ,2076.0, $350.00 ," $683,004.00 ",01/10/2013, October ,2013
Government,France, Montana , Medium ,1757.0, $20.00 ," $33,031.60 ",01/10/2013, October ,2013
Midmarket,United States of America, Paseo , Medium ,2198.0, $15.00 ," $30,991.80 ",01/08/2014, August ,2014
Midmarket,Germany, Paseo , Medium ,1743.0, $15.00 ," $24,576.30 ",01/08/2014, August ,2014
Midmarket,United States of America, Paseo , Medium ,1153.0, $15.00 ," $16,257.30 ",01/10/2014, October ,2014
Government,France, Paseo , Medium ,1757.0, $20.00 ," $33,031.60 ",01/10/2013, October ,2013
Government,Germany, Velo , Medium ,1001.0, $20.00 ," $18,818.80 ",01/08/2014, August ,2014
Government,Mexico, Velo , Medium ,1333.0, $7.00 ," $8,771.14 ",01/11/2014, November ,2014
Midmarket,United States of America, VTT , Medium ,1153.0, $15.00 ," $16,257.30 ",01/10/2014, October ,2014
Channel Partners,Mexico, Carretera , Medium ,727.0, $12.00 ," $8,113.32 ",01/02/2014, February ,2014
Channel Partners,Canada, Carretera , Medium ,1884.0, $12.00 ," $21,025.44 ",01/08/2014, August ,2014
Government,Mexico, Carretera , Medium ,1834.0, $20.00 ," $34,112.40 ",01/09/2013, September ,2013
Channel Partners,Mexico, Montana , Medium ,2340.0, $12.00 ," $26,114.40 ",01/01/2014, January ,2014
Channel Partners,France, Montana , Medium ,2342.0, $12.00 ," $26,136.72 ",01/11/2014, November ,2014
Government,France, Paseo , Medium ,1031.0, $7.00 ," $6,711.81 ",01/09/2013, September ,2013
Midmarket,Canada, Velo , Medium ,1262.0, $15.00 ," $17,604.90 ",01/05/2014, May ,2014
Government,Canada, Velo , Medium ,1135.0, $7.00 ," $7,388.85 ",01/06/2014, June ,2014
Government,United States of America, Velo , Medium ,547.0, $7.00 ," $3,560.97 ",01/11/2014, November ,2014
Government,Canada, Velo , Medium ,1582.0, $7.00 ," $10,298.82 ",01/12/2014, December ,2014
Channel Partners,France, VTT , Medium ,1738.5, $12.00 ," $19,401.66 ",01/04/2014, April ,2014
Channel Partners,Germany, VTT , Medium ,2215.0, $12.00 ," $24,719.40 ",01/09/2013, September ,2013
Government,Canada, VTT , Medium ,1582.0, $7.00 ," $10,298.82 ",01/12/2014, December ,2014
Government,Canada, Amarilla , Medium ,1135.0, $7.00 ," $7,388.85 ",01/06/2014, June ,2014
Government,United States of America, Carretera , Medium ,1761.0, $350.00 ," $573,205.50 ",01/03/2014, March ,2014
Small Business,France, Carretera , Medium ,448.0, $300.00 ," $124,992.00 ",01/06/2014, June ,2014
Small Business,France, Carretera , Medium ,2181.0, $300.00 ," $608,499.00 ",01/10/2014, October ,2014
Government,France, Montana , Medium ,1976.0, $20.00 ," $36,753.60 ",01/10/2014, October ,2014
Small Business,France, Montana , Medium ,2181.0, $300.00 ," $608,499.00 ",01/10/2014, October ,2014
Enterprise,Germany, Montana , Medium ,2500.0, $125.00 ," $290,625.00 ",01/11/2013, November ,2013
Small Business,Canada, Paseo , Medium ,1702.0, $300.00 ," $474,858.00 ",01/05/2014, May ,2014
Small Business,France, Paseo , Medium ,448.0, $300.00 ," $124,992.00 ",01/06/2014, June ,2014
Enterprise,Germany, Paseo , Medium ,3513.0, $125.00 ," $408,386.25 ",01/07/2014, July ,2014
Midmarket,France, Paseo , Medium ,2101.0, $15.00 ," $29,308.95 ",01/08/2014, August ,2014
Midmarket,United States of America, Paseo , Medium ,2931.0, $15.00 ," $40,887.45 ",01/09/2013, September ,2013
Government,France, Paseo , Medium ,1535.0, $20.00 ," $28,551.00 ",01/09/2014, September ,2014
Small Business,Germany, Paseo , Medium ,1123.0, $300.00 ," $313,317.00 ",01/09/2013, September ,2013
Small Business,Canada, Paseo , Medium ,1404.0, $300.00 ," $391,716.00 ",01/11/2013, November ,2013
Channel Partners,Mexico, Paseo , Medium ,2763.0, $12.00 ," $30,835.08 ",01/11/2013, November ,2013
Government,Germany, Paseo , Medium ,2125.0, $7.00 ," $13,833.75 ",01/12/2013, December ,2013
Small Business,France, Velo , Medium ,1659.0, $300.00 ," $462,861.00 ",01/07/2014, July ,2014
Government,Mexico, Velo , Medium ,609.0, $20.00 ," $11,327.40 ",01/08/2014, August ,2014
Enterprise,Germany, Velo , Medium ,2087.0, $125.00 ," $242,613.75 ",01/09/2014, September ,2014
Government,France, Velo , Medium ,1976.0, $20.00 ," $36,753.60 ",01/10/2014, October ,2014
Government,United States of America, Velo , Medium ,1421.0, $20.00 ," $26,430.60 ",01/12/2013, December ,2013
Small Business,United States of America, Velo , Medium ,1372.0, $300.00 ," $382,788.00 ",01/12/2014, December ,2014
Government,Germany, Velo , Medium ,588.0, $20.00 ," $10,936.80 ",01/12/2013, December ,2013
Channel Partners,Canada, VTT , Medium ,3244.5, $12.00 ," $36,208.62 ",01/01/2014, January ,2014
Small Business,France, VTT , Medium ,959.0, $300.00 ," $267,561.00 ",01/02/2014, February ,2014
Small Business,Mexico, VTT , Medium ,2747.0, $300.00 ," $766,413.00 ",01/02/2014, February ,2014
Enterprise,Canada, Amarilla , Medium ,1645.0, $125.00 ," $191,231.25 ",01/05/2014, May ,2014
Government,France, Amarilla , Medium ,2876.0, $350.00 ," $936,138.00 ",01/09/2014, September ,2014
Enterprise,Germany, Amarilla , Medium ,994.0, $125.00 ," $115,552.50 ",01/09/2013, September ,2013
Government,Canada, Amarilla , Medium ,1118.0, $20.00 ," $20,794.80 ",01/11/2014, November ,2014
Small Business,United States of America, Amarilla , Medium ,1372.0, $300.00 ," $382,788.00 ",01/12/2014, December ,2014
Government,Canada, Montana , Medium ,488.0, $7.00 ," $3,142.72 ",01/02/2014, February ,2014
Government,United States of America, Montana , Medium ,1282.0, $20.00 ," $23,588.80 ",01/06/2014, June ,2014
Government,Canada, Paseo , Medium ,257.0, $7.00 ," $1,655.08 ",01/05/2014, May ,2014
Government,United States of America, Amarilla , Medium ,1282.0, $20.00 ," $23,588.80 ",01/06/2014, June ,2014
Enterprise,Mexico, Carretera , Medium ,1540.0, $125.00 ," $177,100.00 ",01/08/2014, August ,2014
Midmarket,France, Carretera , Medium ,490.0, $15.00 ," $6,762.00 ",01/11/2014, November ,2014
Government,Mexico, Carretera , Medium ,1362.0, $350.00 ," $438,564.00 ",01/12/2014, December ,2014
Midmarket,France, Montana , Medium ,2501.0, $15.00 ," $34,513.80 ",01/03/2014, March ,2014
Government,Canada, Montana , Medium ,708.0, $20.00 ," $13,027.20 ",01/06/2014, June ,2014
Government,Germany, Montana , Medium ,645.0, $20.00 ," $11,868.00 ",01/07/2014, July ,2014
Small Business,France, Montana , Medium ,1562.0, $300.00 ," $431,112.00 ",01/08/2014, August ,2014
Small Business,Canada, Montana , Medium ,1283.0, $300.00 ," $354,108.00 ",01/09/2013, September ,2013
Midmarket,Germany, Montana , Medium ,711.0, $15.00 ," $9,811.80 ",01/12/2014, December ,2014
Enterprise,Mexico, Paseo , Medium ,1114.0, $125.00 ," $128,110.00 ",01/03/2014, March ,2014
Government,Germany, Paseo , Medium ,1259.0, $7.00 ," $8,107.96 ",01/04/2014, April ,2014
Government,Germany, Paseo , Medium ,1095.0, $7.00 ," $7,051.80 ",01/05/2014, May ,2014
Government,Germany, Paseo , Medium ,1366.0, $20.00 ," $25,134.40 ",01/06/2014, June ,2014
Small Business,Mexico, Paseo , Medium ,2460.0, $300.00 ," $678,960.00 ",01/06/2014, June ,2014
Government,United States of America, Paseo , Medium ,678.0, $7.00 ," $4,366.32 ",01/08/2014, August ,2014
Government,Germany, Paseo , Medium ,1598.0, $7.00 ," $10,291.12 ",01/08/2014, August ,2014
Government,Germany, Paseo , Medium ,2409.0, $7.00 ," $15,513.96 ",01/09/2013, September ,2013
Government,Germany, Paseo , Medium ,1934.0, $20.00 ," $35,585.60 ",01/09/2014, September ,2014
Government,Mexico, Paseo , Medium ,2993.0, $20.00 ," $55,071.20 ",01/09/2014, September ,2014
Government,Germany, Paseo , Medium ,2146.0, $350.00 ," $691,012.00 ",01/11/2013, November ,2013
Government,Mexico, Paseo , Medium ,1946.0, $7.00 ," $12,532.24 ",01/12/2013, December ,2013
Government,Mexico, Paseo , Medium ,1362.0, $350.00 ," $438,564.00 ",01/12/2014, December ,2014
Channel Partners,Canada, Velo , Medium ,598.0, $12.00 ," $6,601.92 ",01/03/2014, March ,2014
Government,United States of America, Velo , Medium ,2907.0, $7.00 ," $18,721.08 ",01/06/2014, June ,2014
Government,Germany, Velo , Medium ,2338.0, $7.00 ," $15,056.72 ",01/06/2014, June ,2014
Small Business,France, Velo , Medium ,386.0, $300.00 ," $106,536.00 ",01/11/2013, November ,2013
Small Business,Mexico, Velo , Medium ,635.0, $300.00 ," $175,260.00 ",01/12/2014, December ,2014
Government,France, VTT , Medium ,574.5, $350.00 ," $184,989.00 ",01/04/2014, April ,2014
Government,Germany, VTT , Medium ,2338.0, $7.00 ," $15,056.72 ",01/06/2014, June ,2014
Government,France, VTT , Medium ,381.0, $350.00 ," $122,682.00 ",01/08/2014, August ,2014
Government,Germany, VTT , Medium ,422.0, $350.00 ," $135,884.00 ",01/08/2014, August ,2014
Small Business,Canada, VTT , Medium ,2134.0, $300.00 ," $588,984.00 ",01/09/2014, September ,2014
Small Business,United States of America, VTT , Medium ,808.0, $300.00 ," $223,008.00 ",01/12/2013, December ,2013
Government,Canada, Amarilla , Medium ,708.0, $20.00 ," $13,027.20 ",01/06/2014, June ,2014
Government,United States of America, Amarilla , Medium ,2907.0, $7.00 ," $18,721.08 ",01/06/2014, June ,2014
Government,Germany, Amarilla , Medium ,1366.0, $20.00 ," $25,134.40 ",01/06/2014, June ,2014
Small Business,Mexico, Amarilla , Medium ,2460.0, $300.00 ," $678,960.00 ",01/06/2014, June ,2014
Government,Germany, Amarilla , Medium ,1520.0, $20.00 ," $27,968.00 ",01/11/2014, November ,2014
Midmarket,Germany, Amarilla , Medium ,711.0, $15.00 ," $9,811.80 ",01/12/2014, December ,2014
Channel Partners,Mexico, Amarilla , Medium ,1375.0, $12.00 ," $15,180.00 ",01/12/2013, December ,2013
Small Business,Mexico, Amarilla , Medium ,635.0, $300.00 ," $175,260.00 ",01/12/2014, December ,2014
Government,United States of America, VTT , Medium ,436.5, $20.00 ," $8,031.60 ",01/07/2014, July ,2014
Small Business,Canada, Carretera , Medium ,1094.0, $300.00 ," $298,662.00 ",01/06/2014, June ,2014
Channel Partners,Mexico, Carretera , Medium ,367.0, $12.00 ," $4,007.64 ",01/10/2013, October ,2013
Small Business,Canada, Montana , Medium ,3802.5, $300.00 ," $1,038,082.50 ",01/04/2014, April ,2014
Government,France, Montana , Medium ,1666.0, $350.00 ," $530,621.00 ",01/05/2014, May ,2014
Small Business,France, Montana , Medium ,322.0, $300.00 ," $87,906.00 ",01/09/2013, September ,2013
Channel Partners,Canada, Montana , Medium ,2321.0, $12.00 ," $25,345.32 ",01/11/2014, November ,2014
Enterprise,France, Montana , Medium ,1857.0, $125.00 ," $211,233.75 ",01/11/2013, November ,2013
Government,Canada, Montana , Medium ,1611.0, $7.00 ," $10,262.07 ",01/12/2013, December ,2013
Enterprise,United States of America, Montana , Medium ,2797.0, $125.00 ," $318,158.75 ",01/12/2014, December ,2014
Small Business,Germany, Montana , Medium ,334.0, $300.00 ," $91,182.00 ",01/12/2013, December ,2013
Small Business,Mexico, Paseo , Medium ,2565.0, $300.00 ," $700,245.00 ",01/01/2014, January ,2014
Government,Mexico, Paseo , Medium ,2417.0, $350.00 ," $769,814.50 ",01/01/2014, January ,2014
Midmarket,United States of America, Paseo , Medium ,3675.0, $15.00 ," $50,163.75 ",01/04/2014, April ,2014
Small Business,Canada, Paseo , Medium ,1094.0, $300.00 ," $298,662.00 ",01/06/2014, June ,2014
Midmarket,France, Paseo , Medium ,1227.0, $15.00 ," $16,748.55 ",01/10/2014, October ,2014
Channel Partners,Mexico, Paseo , Medium ,367.0, $12.00 ," $4,007.64 ",01/10/2013, October ,2013
Small Business,France, Paseo , Medium ,1324.0, $300.00 ," $361,452.00 ",01/11/2014, November ,2014
Channel Partners,Germany, Paseo , Medium ,1775.0, $12.00 ," $19,383.00 ",01/11/2013, November ,2013
Enterprise,United States of America, Paseo , Medium ,2797.0, $125.00 ," $318,158.75 ",01/12/2014, December ,2014
Midmarket,Mexico, Velo , Medium ,245.0, $15.00 ," $3,344.25 ",01/05/2014, May ,2014
Small Business,Canada, Velo , Medium ,3793.5, $300.00 ," $1,035,625.50 ",01/07/2014, July ,2014
Government,Germany, Velo , Medium ,1307.0, $350.00 ," $416,279.50 ",01/07/2014, July ,2014
Enterprise,Canada, Velo , Medium ,567.0, $125.00 ," $64,496.25 ",01/09/2014, September ,2014
Enterprise,Mexico, Velo , Medium ,2110.0, $125.00 ," $240,012.50 ",01/09/2014, September ,2014
Government,Canada, Velo , Medium ,1269.0, $350.00 ," $404,176.50 ",01/10/2014, October ,2014
Channel Partners,United States of America, VTT , Medium ,1956.0, $12.00 ," $21,359.52 ",01/01/2014, January ,2014
Small Business,Germany, VTT , Medium ,2659.0, $300.00 ," $725,907.00 ",01/02/2014, February ,2014
Government,United States of America, VTT , Medium ,1351.5, $350.00 ," $430,452.75 ",01/04/2014, April ,2014
Channel Partners,Germany, VTT , Medium ,880.0, $12.00 ," $9,609.60 ",01/05/2014, May ,2014
Small Business,United States of America, VTT , Medium ,1867.0, $300.00 ," $509,691.00 ",01/09/2014, September ,2014
Channel Partners,France, VTT , Medium ,2234.0, $12.00 ," $24,395.28 ",01/09/2013, September ,2013
Midmarket,France, VTT , Medium ,1227.0, $15.00 ," $16,748.55 ",01/10/2014, October ,2014
Enterprise,Mexico, VTT , Medium ,877.0, $125.00 ," $99,758.75 ",01/11/2014, November ,2014
Government,United States of America, Amarilla , Medium ,2071.0, $350.00 ," $659,613.50 ",01/09/2014, September ,2014
Government,Canada, Amarilla , Medium ,1269.0, $350.00 ," $404,176.50 ",01/10/2014, October ,2014
Midmarket,Germany, Amarilla , Medium ,970.0, $15.00 ," $13,240.50 ",01/11/2013, November ,2013
Government,Mexico, Amarilla , Medium ,1694.0, $20.00 ," $30,830.80 ",01/11/2014, November ,2014
Government,Germany, Carretera , Medium ,663.0, $20.00 ," $12,066.60 ",01/05/2014, May ,2014
Government,Canada, Carretera , Medium ,819.0, $7.00 ," $5,217.03 ",01/07/2014, July ,2014
Channel Partners,Germany, Carretera , Medium ,1580.0, $12.00 ," $17,253.60 ",01/09/2014, September ,2014
Government,Mexico, Carretera , Medium ,521.0, $7.00 ," $3,318.77 ",01/12/2014, December ,2014
Government,United States of America, Paseo , Medium ,973.0, $20.00 ," $17,708.60 ",01/03/2014, March ,2014
Government,Mexico, Paseo , Medium ,1038.0, $20.00 ," $18,891.60 ",01/06/2014, June ,2014
Government,Germany, Paseo , Medium ,360.0, $7.00 ," $2,293.20 ",01/10/2014, October ,2014
Channel Partners,France, Velo , Medium ,1967.0, $12.00 ," $21,479.64 ",01/03/2014, March ,2014
Midmarket,Mexico, Velo , Medium ,2628.0, $15.00 ," $35,872.20 ",01/04/2014, April ,2014
Government,Germany, VTT , Medium ,360.0, $7.00 ," $2,293.20 ",01/10/2014, October ,2014
Government,France, VTT , Medium ,2682.0, $20.00 ," $48,812.40 ",01/11/2013, November ,2013
Government,Mexico, VTT , Medium ,521.0, $7.00 ," $3,318.77 ",01/12/2014, December ,2014
Government,Mexico, Amarilla , Medium ,1038.0, $20.00 ," $18,891.60 ",01/06/2014, June ,2014
Midmarket,Canada, Amarilla , Medium ,1630.5, $15.00 ," $22,256.33 ",01/07/2014, July ,2014
Channel Partners,France, Amarilla , Medium ,306.0, $12.00 ," $3,341.52 ",01/12/2013, December ,2013
Channel Partners,United States of America, Carretera , High ,386.0, $12.00 ," $4,168.80 ",01/10/2013, October ,2013
Government,United States of America, Montana , High ,2328.0, $7.00 ," $14,666.40 ",01/09/2014, September ,2014
Channel Partners,United States of America, Paseo , High ,386.0, $12.00 ," $4,168.80 ",01/10/2013, October ,2013
Enterprise,United States of America, Carretera , High ,3445.5, $125.00 ," $387,618.75 ",01/04/2014, April ,2014
Enterprise,France, Carretera , High ,1482.0, $125.00 ," $166,725.00 ",01/12/2013, December ,2013
Government,United States of America, Montana , High ,2313.0, $350.00 ," $728,595.00 ",01/05/2014, May ,2014
Enterprise,United States of America, Montana , High ,1804.0, $125.00 ," $202,950.00 ",01/11/2013, November ,2013
Midmarket,France, Montana , High ,2072.0, $15.00 ," $27,972.00 ",01/12/2014, December ,2014
Government,France, Paseo , High ,1954.0, $20.00 ," $35,172.00 ",01/03/2014, March ,2014
Small Business,Mexico, Paseo , High ,591.0, $300.00 ," $159,570.00 ",01/05/2014, May ,2014
Midmarket,France, Paseo , High ,2167.0, $15.00 ," $29,254.50 ",01/10/2013, October ,2013
Government,Germany, Paseo , High ,241.0, $20.00 ," $4,338.00 ",01/10/2014, October ,2014
Midmarket,Germany, Velo , High ,681.0, $15.00 ," $9,193.50 ",01/01/2014, January ,2014
Midmarket,Germany, Velo , High ,510.0, $15.00 ," $6,885.00 ",01/04/2014, April ,2014
Midmarket,United States of America, Velo , High ,790.0, $15.00 ," $10,665.00 ",01/05/2014, May ,2014
Government,France, Velo , High ,639.0, $350.00 ," $201,285.00 ",01/07/2014, July ,2014
Enterprise,United States of America, Velo , High ,1596.0, $125.00 ," $179,550.00 ",01/09/2014, September ,2014
Small Business,United States of America, Velo , High ,2294.0, $300.00 ," $619,380.00 ",01/10/2013, October ,2013
Government,Germany, Velo , High ,241.0, $20.00 ," $4,338.00 ",01/10/2014, October ,2014
Government,Germany, Velo , High ,2665.0, $7.00 ," $16,789.50 ",01/11/2014, November ,2014
Enterprise,Canada, Velo , High ,1916.0, $125.00 ," $215,550.00 ",01/12/2013, December ,2013
Small Business,France, Velo , High ,853.0, $300.00 ," $230,310.00 ",01/12/2014, December ,2014
Enterprise,Mexico, VTT , High ,341.0, $125.00 ," $38,362.50 ",01/05/2014, May ,2014
Midmarket,Mexico, VTT , High ,641.0, $15.00 ," $8,653.50 ",01/07/2014, July ,2014
Government,United States of America, VTT , High ,2807.0, $350.00 ," $884,205.00 ",01/08/2014, August ,2014
Small Business,Mexico, VTT , High ,432.0, $300.00 ," $116,640.00 ",01/09/2014, September ,2014
Small Business,United States of America, VTT , High ,2294.0, $300.00 ," $619,380.00 ",01/10/2013, October ,2013
Midmarket,France, VTT , High ,2167.0, $15.00 ," $29,254.50 ",01/10/2013, October ,2013
Enterprise,Canada, VTT , High ,2529.0, $125.00 ," $284,512.50 ",01/11/2014, November ,2014
Government,Germany, VTT , High ,1870.0, $350.00 ," $589,050.00 ",01/12/2013, December ,2013
Enterprise,United States of America, Amarilla , High ,579.0, $125.00 ," $65,137.50 ",01/01/2014, January ,2014
Government,Canada, Amarilla , High ,2240.0, $350.00 ," $705,600.00 ",01/02/2014, February ,2014
Small Business,United States of America, Amarilla , High ,2993.0, $300.00 ," $808,110.00 ",01/03/2014, March ,2014
Channel Partners,Canada, Amarilla , High ,3520.5, $12.00 ," $38,021.40 ",01/04/2014, April ,2014
Government,Mexico, Amarilla , High ,2039.0, $20.00 ," $36,702.00 ",01/05/2014, May ,2014
Channel Partners,Germany, Amarilla , High ,2574.0, $12.00 ," $27,799.20 ",01/08/2014, August ,2014
Government,Canada, Amarilla , High ,707.0, $350.00 ," $222,705.00 ",01/09/2014, September ,2014
Midmarket,France, Amarilla , High ,2072.0, $15.00 ," $27,972.00 ",01/12/2014, December ,2014
Small Business,France, Amarilla , High ,853.0, $300.00 ," $230,310.00 ",01/12/2014, December ,2014
Channel Partners,France, Carretera , High ,1198.0, $12.00 ," $12,794.64 ",01/10/2013, October ,2013
Government,France, Paseo , High ,2532.0, $7.00 ," $15,774.36 ",01/04/2014, April ,2014
Channel Partners,France, Paseo , High ,1198.0, $12.00 ," $12,794.64 ",01/10/2013, October ,2013
Midmarket,Canada, Velo , High ,384.0, $15.00 ," $5,126.40 ",01/01/2014, January ,2014
Channel Partners,Germany, Velo , High ,472.0, $12.00 ," $5,040.96 ",01/10/2014, October ,2014
Government,United States of America, VTT , High ,1579.0, $7.00 ," $9,837.17 ",01/03/2014, March ,2014
Channel Partners,Mexico, VTT , High ,1005.0, $12.00 ," $10,733.40 ",01/09/2013, September ,2013
Midmarket,United States of America, Amarilla , High ,3199.5, $15.00 ," $42,713.33 ",01/07/2014, July ,2014
Channel Partners,Germany, Amarilla , High ,472.0, $12.00 ," $5,040.96 ",01/10/2014, October ,2014
Channel Partners,Canada, Carretera , High ,1937.0, $12.00 ," $20,687.16 ",01/02/2014, February ,2014
Government,Germany, Carretera , High ,792.0, $350.00 ," $246,708.00 ",01/03/2014, March ,2014
Small Business,Germany, Carretera , High ,2811.0, $300.00 ," $750,537.00 ",01/07/2014, July ,2014
Enterprise,France, Carretera , High ,2441.0, $125.00 ," $271,561.25 ",01/10/2014, October ,2014
Midmarket,Canada, Carretera , High ,1560.0, $15.00 ," $20,826.00 ",01/11/2013, November ,2013
Government,Mexico, Carretera , High ,2706.0, $7.00 ," $16,858.38 ",01/11/2013, November ,2013
Government,Germany, Montana , High ,766.0, $350.00 ," $238,609.00 ",01/01/2014, January ,2014
Government,Germany, Montana , High ,2992.0, $20.00 ," $53,257.60 ",01/10/2013, October ,2013
Midmarket,Mexico, Montana , High ,2157.0, $15.00 ," $28,795.95 ",01/12/2014, December ,2014
Small Business,Canada, Paseo , High ,873.0, $300.00 ," $233,091.00 ",01/01/2014, January ,2014
Government,Mexico, Paseo , High ,1122.0, $20.00 ," $19,971.60 ",01/03/2014, March ,2014
Government,Canada, Paseo , High ,2104.5, $350.00 ," $655,551.75 ",01/07/2014, July ,2014
Channel Partners,Canada, Paseo , High ,4026.0, $12.00 ," $42,997.68 ",01/07/2014, July ,2014
Channel Partners,France, Paseo , High ,2425.5, $12.00 ," $25,904.34 ",01/07/2014, July ,2014
Government,Canada, Paseo , High ,2394.0, $20.00 ," $42,613.20 ",01/08/2014, August ,2014
Midmarket,Mexico, Paseo , High ,1984.0, $15.00 ," $26,486.40 ",01/08/2014, August ,2014
Enterprise,France, Paseo , High ,2441.0, $125.00 ," $271,561.25 ",01/10/2014, October ,2014
Government,Germany, Paseo , High ,2992.0, $20.00 ," $53,257.60 ",01/10/2013, October ,2013
Small Business,Canada, Paseo , High ,1366.0, $300.00 ," $364,722.00 ",01/11/2014, November ,2014
Government,France, Velo , High ,2805.0, $20.00 ," $49,929.00 ",01/09/2013, September ,2013
Midmarket,Mexico, Velo , High ,655.0, $15.00 ," $8,744.25 ",01/09/2013, September ,2013
Government,Mexico, Velo , High ,344.0, $350.00 ," $107,156.00 ",01/10/2013, October ,2013
Government,Canada, Velo , High ,1808.0, $7.00 ," $11,263.84 ",01/11/2014, November ,2014
Channel Partners,France, VTT , High ,1734.0, $12.00 ," $18,519.12 ",01/01/2014, January ,2014
Enterprise,Mexico, VTT , High ,554.0, $125.00 ," $61,632.50 ",01/01/2014, January ,2014
Government,Canada, VTT , High ,2935.0, $20.00 ," $52,243.00 ",01/11/2013, November ,2013
Enterprise,Germany, Amarilla , High ,3165.0, $125.00 ," $352,106.25 ",01/01/2014, January ,2014
Government,Mexico, Amarilla , High ,2629.0, $20.00 ," $46,796.20 ",01/01/2014, January ,2014
Enterprise,France, Amarilla , High ,1433.0, $125.00 ," $159,421.25 ",01/05/2014, May ,2014
Enterprise,Mexico, Amarilla , High ,947.0, $125.00 ," $105,353.75 ",01/09/2013, September ,2013
Government,Mexico, Amarilla , High ,344.0, $350.00 ," $107,156.00 ",01/10/2013, October ,2013
Midmarket,Mexico, Amarilla , High ,2157.0, $15.00 ," $28,795.95 ",01/12/2014, December ,2014
Government,United States of America, Paseo , High ,380.0, $7.00 ," $2,367.40 ",01/09/2013, September ,2013
Government,Mexico, Carretera , High ,886.0, $350.00 ," $272,888.00 ",01/06/2014, June ,2014
Enterprise,Canada, Carretera , High ,2416.0, $125.00 ," $265,760.00 ",01/09/2013, September ,2013
Enterprise,Mexico, Carretera , High ,2156.0, $125.00 ," $237,160.00 ",01/10/2014, October ,2014
Midmarket,Canada, Carretera , High ,2689.0, $15.00 ," $35,494.80 ",01/11/2014, November ,2014
Midmarket,United States of America, Montana , High ,677.0, $15.00 ," $8,936.40 ",01/03/2014, March ,2014
Small Business,France, Montana , High ,1773.0, $300.00 ," $468,072.00 ",01/04/2014, April ,2014
